Province/State,Country/Region,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,,,,,,,,,,,
North Brabant,Netherlands,1,0,2,1,4,4,5,7,10,26,33,42,22,61,48,94,43,43,108,80,94,114,129,168,219,150,177,176,239,326,252,,,,,,,,,,,
North Holland,Netherlands,0,1,1,0,1,1,4,2,1,7,5,1,7,5,7,21,20,7,25,36,22,71,83,102,70,61,136,129,157,193,160,,,,,,,,,,,
South Holland,Netherlands,0,0,1,1,1,0,4,5,10,7,5,3,10,10,8,16,14,15,26,39,57,71,92,74,98,60,106,129,153,202,253,,,,,,,,,,,
Drenthe,Netherlands,0,0,0,1,1,0,0,1,0,0,5,2,2,0,1,0,2,0,1,1,5,3,7,6,3,7,6,5,11,8,18,,,,,,,,,,,
Utrecht,Netherlands,0,0,0,0,3,0,0,20,10,14,5,0,3,12,13,3,4,22,31,33,24,40,30,46,31,57,57,89,81,88,81,,,,,,,,,,,
Gelderland,Netherlands,0,0,0,0,0,0,1,1,8,3,13,1,3,6,12,16,12,24,35,38,37,30,63,59,59,81,74,99,122,129,132,,,,,,,,,,,
Flevoland,Netherlands,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4,7,5,3,2,6,6,5,9,7,7,7,11,10,13,12,,,,,,,,,,,
Overijssel,Netherlands,0,0,0,0,0,0,0,1,0,3,5,1,0,2,1,5,5,5,8,9,13,15,25,63,26,29,31,69,69,58,68,,,,,,,,,,,
Limburg,Netherlands,0,0,0,0,0,0,0,2,7,2,5,7,9,16,5,14,37,25,20,48,61,33,66,51,29,42,191,95,93,85,130,,,,,,,,,,,
Zeeland,Netherlands,0,0,0,0,0,0,0,0,0,1,0,0,2,3,3,0,1,2,5,3,6,5,5,10,2,6,8,14,14,18,11,,,,,,,,,,,
Friesland,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,2,3,1,4,2,2,11,1,5,2,10,17,13,15,,,,,,,,,,,
Groningen,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,1,,5,14,4,13,10,11,0,13,29,11,13,,,,,,,,,,,
Unknown,Netherlands,0,0,0,0,0,0,0,4,-1,-3,0,0,1,4,7,15,9,21,12,2,12,5,23,25,18,29,16,13,24,28,14,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,