Province/State,Country/Region,1/31/20,2/9/20,2/24/20,2/25/20,2/27/20,2/28/20,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020
Andalusia,Spain,0,0,0,0,1,5,6,1,0,-1,9,33,17,19,25,104,50,168,117,129
Aragon,Spain,0,0,0,0,0,1,-1,0,0,1,5,7,25,7,19,16,0,67,27,33
Asturias,Spain,0,0,0,0,0,0,1,0,1,3,0,2,15,10,15,20,25,45,40,16
Belaric Islands,Spain,0,1,0,0,0,0,1,0,3,1,0,5,2,3,6,8,-2,0,45,19
Canary Islands,Spain,1,0,4,0,1,0,1,0,0,1,3,11,3,12,14,19,20,19,10,29
Cantabria,Spain,0,0,0,0,0,0,10,0,0,0,0,2,0,0,4,13,2,20,7,0
Castilla La Mancha,Spain,0,0,0,0,0,0,3,4,5,1,2,11,13,32,44,79,95,112,166,0
Castilla y Leon,Spain,0,0,0,1,-1,2,1,5,3,0,3,9,33,15,21,77,54,69,42,97
Catalonia,Spain,0,0,0,1,1,1,12,0,0,9,0,51,49,32,104,56,193,206,188,491
Ceuta,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Valencian Community,Spain,0,0,0,0,2,6,7,0,4,0,11,7,13,15,11,18,36,279,0,132
Extremadura,Spain,0,0,0,0,0,0,6,0,0,0,0,1,1,1,10,20,27,29,16,42
Galicia,Spain,0,0,0,0,0,0,0,0,1,0,2,3,16,17,-4,50,30,80,50,47
Madrid,Spain,0,0,0,2,2,1,24,20,21,20,47,332,313,242,364,602,950,604,625,706
Melilla,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,9
Murcia,Spain,0,0,0,0,0,0,0,0,0,0,0,4,5,2,15,9,12,24,6,20
Navarre,Spain,0,0,0,0,0,0,1,0,2,0,0,0,9,34,27,57,16,37,91,66
Basque Country,Spain,0,0,0,0,0,0,9,4,4,0,28,104,46,30,121,71,0,213,0,135
La Rioja,Spain,0,0,0,0,0,0,1,2,4,4,18,52,63,35,26,38,35,22,12,43