Date,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020
Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Qom,2,2,7,8,7,8,16,15,7,16,21,30,101,32,137,145,17,27,39,53,42,42,32,84,19
Tehran,0,0,4,2,4,3,8,4,38,64,52,170,253,56,61,126,266,140,169,256,303,303,347,251,200
Mazandaran,0,0,0,0,1,0,2,1,7,9,12,11,9,50,180,305,14,13,253,32,79,192,17,72,96
Alburz,0,0,0,0,0,0,2,0,3,3,8,31,19,61,129,3,2,0,32,45,74,6,134,67,49
Semnan,0,0,0,0,0,0,0,1,3,2,4,3,8,22,54,24,37,45,1,63,40,38,47,41,34
Golestan,0,0,0,0,0,0,0,0,0,2,22,0,9,4,67,58,13,0,4,9,25,21,0,25,42
Qazvin,0,0,0,0,0,0,0,0,0,2,6,0,25,31,65,2,29,40,10,27,42,12,47,22,40
Esfahan,0,0,0,0,0,2,0,0,8,10,12,13,0,118,150,96,80,37,17,170,4,110,155,126,118
Fars,0,0,0,0,0,0,1,2,0,0,8,8,14,19,13,14,9,29,18,19,29,33,11,9,43
Hormozgan,0,0,0,0,0,0,1,1,0,0,0,2,0,2,6,11,5,17,17,10,0,4,0,7,16
Kohgiluyeh and Boyer-Ahmad,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,3,0,2,0,15,0,0,1,5
Chaharmahal and Bakhtiari,0,0,0,0,0,0,0,0,0,0,0,0,1,8,5,2,5,5,11,1,11,0,0,0,3
Bushehr,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,1,7,0,3,0,7,6,4
Gilan,0,0,2,0,2,2,2,1,23,25,17,28,35,80,91,70,2,28,0,5,84,71,113,43,18
Ardebil,0,0,0,0,0,0,0,0,5,1,3,0,0,17,11,1,9,22,19,1,14,15,33,0,30
East Azerbaijan,0,0,0,0,0,0,0,0,2,4,6,0,9,10,10,2,30,22,17,29,7,97,59,36,35
West Azerbaijan,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,22,7,29,4,27,19,25,31,18,31
Kurdistan,0,0,0,0,0,0,0,0,1,2,5,0,4,6,24,2,19,3,12,6,9,9,5,27,31
Zanjan,0,0,0,0,0,0,0,0,0,0,0,0,6,7,35,2,1,15,11,22,17,20,31,32,15
Markazi,0,1,0,0,1,2,0,1,0,0,18,44,8,31,48,37,70,54,27,31,88,48,115,0,14
Hamedan,0,0,0,0,0,1,0,0,1,0,0,3,0,6,7,11,26,0,17,7,12,10,7,11,12
Khuzistan,0,0,0,0,0,0,0,3,0,3,4,9,27,1,0,1,5,4,37,17,31,15,48,32,53
Kermanshah,0,0,0,0,0,0,0,1,2,0,0,2,15,0,5,4,2,11,7,8,20,15,8,13,16
Lorestan,0,0,0,0,0,0,0,1,3,0,0,8,5,11,50,27,37,7,25,9,25,25,2,52,0
Ilam,0,0,0,0,0,0,0,0,0,0,1,1,7,0,2,2,0,16,25,6,7,8,6,18,2
Razavi Khorasan,0,0,0,0,0,0,1,0,1,0,0,17,8,53,0,46,19,29,39,34,29,110,30,143,0
Sistan and Baluchestan,0,0,0,0,0,0,0,2,0,0,1,2,8,5,2,13,0,0,6,4,6,2,2,6,11
Yazd,0,0,0,0,0,0,0,0,1,0,4,0,0,0,50,24,6,3,37,23,21,46,73,36,51
South Khorasan,0,0,0,0,0,0,0,0,0,0,1,2,0,9,3,0,26,-7,14,15,12,0,4,18,7
Kerman,0,0,0,0,0,0,0,0,0,0,0,2,14,0,7,15,1,-5,4,18,7,12,0,7,13
North Khorasan,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,8,1,10,0,11,0,0,1,6,45